序号,label
1,陈毅
2,华东野战军
3,粟裕
4,中共中央
5,毛泽东
6,中共中央中原局
7,邓小平
8,刘伯承
9,第三野战军
10,新华社
11,中央军委
12,杜聿明
13,西北野战军
14,中原野战军
15,东北野战军
16,中国人民解放军总部
17,中国共产党
18,中国国民党
19,朱德
20,饶漱石
21,宋庆龄
22,潘汉年
23,上海市军管会
