Unnamed: 0,*出处ISBN/AS-ID,*页码,被拆解语句,*事件名【主体名+动词+客体名（地点名）】,*事件ID,*起始日期（YYYY/MM/DD）,结束日期（YYYY/MM/DD）,时间备注（非公历纪年，无年份信息）,*地点,*地点ID,*主体人物/组织,*主体ID,客体人物/组织,客体ID,关系,人物备注,谓词,事件类型,作品,作品ID,作品备注,会议,会议ID,会议备注,其他说明
,7010021562,69,根据中国共产党第四届中央执行委员会第二次扩大会议精神，中共北京地委与北京区委（后改为北方区委）分开，单独成立。陈毅参加了地委的工作，并根据党组织的决定，为加强国民革命运动，以共产党员身份加入国民党，担任国民党北京特别市党部执行委员、国民革命运动委员会负责人，并兼任北京学生总会的党团书记，但名义上仍保持着中法大学的学籍。,陈毅参加北京地委工作（北京市）,489,1925-10-01 00:00:00.000000000,,月初,北京市,348.0,陈毅,agent_person/7993,,,,,参加,,,,,,,,
,7010021562,69,根据中国共产党第四届中央执行委员会第二次扩大会议精神，中共北京地委与北京区委（后改为北方区委）分开，单独成立。陈毅参加了地委的工作，并根据党组织的决定，为加强国民革命运动，以共产党员身份加入国民党，担任国民党北京特别市党部执行委员、国民革命运动委员会负责人，并兼任北京学生总会的党团书记，但名义上仍保持着中法大学的学籍。,陈毅兼任北京学生总会党团书记（北京市）,2499,1925-10-01 00:00:00.000000000,,月初,北京市,348.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,72,和李大钊参加北京各界600多人在北大三院大礼堂举行的列宁逝世两周年纪念大会，并在会上演讲。,陈毅参加列宁逝世两周年纪念大会（北京市）,493,1926-01-21 00:00:00.000000000,,,北京市,348.0,陈毅,agent_person/7993,列宁,agent_person/15087,受影响,,参加,会议,,,,,Un2,列宁逝世两周年纪念大会,
,7010021562,78,上午10时，在陈毅等人的积极发动下，北京各界200多个团体约万余人在天安门前举行“反对八国通牒示威大会”。,陈毅发动“反对八国通牒示威大会”（北京市）,509,1926-03-18 00:00:00.000000000,,,北京市,348.0,陈毅,agent_person/7993,,,,,参加,,,,,,,,
,7010021562,86,经刘愿安推荐，前往合川县川军第二十八军第三师（称合三师）工作，被任命为该师政治部秘书。,陈毅任川军第二十八军第三师政治部秘书（合川区）,544,1926-12-15 00:00:00.000000000,,,合川区,545.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,92,陈毅奉中共中央军委的指示，随教导团2000余人，从武昌煤炭码头，乘坐由几艘小火轮拖着的若干木船，沿长江“东下讨蒋”。,陈毅随教导团沿长江“东下讨蒋”（武汉市）,563,1927-08-02 00:00:00.000000000,,,武汉市,524.0,陈毅,agent_person/7993,,,,,,战争,,,,,,,
,7010021562,94,与萧劲在宜黄再次追上起义军。周恩来和军事参谋团诸同志商量后，分配陈毅任第二十五师第七十三团的团指导员。,陈毅任第二十五师第七十三团指导员（宜黄县）,566,1927-08-13 00:00:00.000000000,,,宜黄县,567.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,107,出席中共湘南特委在永兴县城召开的湘南工农兵代表大会，成立湘南苏维埃政府，选举陈佑魁、朱德、陈毅、李才佳、尹子韶、宋乔生等21人为执行委员，陈佑魁为主席。会议作出了土地问题等决议。,陈毅出席湘南工农兵代表大会（永兴县）,605,1928-03-16 00:00:00.000000000,1928-03-20,,永兴县,606.0,陈毅,agent_person/7993,,,,,参加,会议,,,,,Un2,湘南工农兵代表大会,
,7010021562,107,出席中共湘南特委在永兴县城召开的湘南工农兵代表大会，成立湘南苏维埃政府，选举陈佑魁、朱德、陈毅、李才佳、尹子韶、宋乔生等21人为执行委员，陈佑魁为主席。会议作出了土地问题等决议。,陈毅任湘南苏维埃政府执行委员（永兴县）,2547,1928-03-16 00:00:00.000000000,1928-03-20,,永兴县,606.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,109,陈毅和朱德率领工农革命军第一师、湘南农军与毛泽东率领的工农革命军第一师在江西宁冈砻市胜利会师。,朱毛会师（砻市镇）,609,1928-04-01 00:00:00.000000000,,1928年4月下旬,砻市镇,1147.0,毛泽东,agent_person/8176,朱德,agent_person/8240,,,,聚集,,,,,,,
,7010021562,109,在宁冈砻市主持召开庆祝两军胜利会师大会。正式宣布成立工农革命军第四军（不久，按党中央规定，改称为红军第四军），朱德任军长，毛泽东任党代表，王尔琢任参谋长。下辖2个师和1个教导大队：第十师师长朱德兼，第十一师师长毛泽东代兼（本任张子清为师长，因他负伤），教导大队大队长陈毅。,陈毅任第四军教导大队队长（砻市镇）,2427,1928-04-01 00:00:00.000000000,,1928年4月底,砻市镇,1147.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,109,在宁冈砻市主持召开庆祝两军胜利会师大会。正式宣布成立工农革命军第四军（不久，按党中央规定，改称为红军第四军），朱德任军长，毛泽东任党代表，王尔琢任参谋长。下辖2个师和1个教导大队：第十师师长朱德兼，第十一师师长毛泽东代兼（本任张子清为师长，因他负伤），教导大队大队长陈毅。,工农革命军第四军成立（砻市镇）,2426,1928-04-01 00:00:00.000000000,,1928年4月底,砻市镇,1147.0,中国工农红军第四军/红四军,agent_corporate_entity/2542,,,,,成立,,,,,,,,
