chenyi,r1,n,r2,m
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3376, predicate: 会见, name: 周恩来、陈毅陪同毛泽东接见富尔夫妇（北京市）, startDate: 1963-11-02 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2764, predicate: 参加, endDate: 1950-06-09 00:00:00, name: 陈毅出席中共七届三中全会（北京市）, eventType: 会议, startDate: 1950-06-06 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2514, predicate: 参加, name: 陈毅参加苏北文化工作者协会代表大会（盐城市）, eventType: 聚集, startDate: 1941-04-16 00:00:00})",[:OCCURS_IN],"(:Location {name: 盐城市, nodeId: 940.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2433, predicate: 创作, name: 陈毅撰写《关于朱、毛争论问题的报告》（上海市）, startDate: 1929-09-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 上海市, nodeId: 375.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2303, predicate: 参加, name: 陈毅参加肯尼亚独立庆典（内罗毕）, eventType: 聚集, startDate: 1963-12-12 00:00:00})",[:OCCURS_IN],"(:Location {name: 内罗毕, nodeId: 2304.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2521, predicate: 创作, name: 陈毅发表《论建军工作》（盐城市）, startDate: 1941-07-10 00:00:00})",[:OCCURS_IN],"(:Location {name: 盐城市, nodeId: 940.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2956, name: 陈毅任扩大的日内瓦会议中国全权代表（北京市）, eventType: 任职, startDate: 1961-05-08 00:00:00})",[:OCCURS_IN],"(:Location {name: 日内瓦, nodeId: 1450.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2956, name: 陈毅任扩大的日内瓦会议中国全权代表（北京市）, eventType: 任职, startDate: 1961-05-08 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3177, predicate: 会见, name: 陈毅参加接见在京学习毛泽东思想的各单位代表（北京市）, startDate: 1969-01-25 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3084, name: 陈毅父亲陈家余去世（成都市）, startDate: 1967-12-26 00:00:00})",[:OCCURS_IN],"(:Location {name: 成都市, nodeId: 339.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2435, name: 陈毅初识张茜（泾县云岭）, startDate: 1939-03-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 泾县云岭, nodeId: 1417.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2563, predicate: 汇报, name: 陈毅参加山野前方指挥部干部会议（临沂市）, eventType: 会议, startDate: 1946-07-14 00:00:00})",[:OCCURS_IN],"(:Location {name: 临沂市, nodeId: 1551.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3085, predicate: 会见, name: 陈毅参加接见在京学习毛泽东思想的各单位代表（北京市）, startDate: 1968-08-15 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2473, name: 陈毅抵达莫斯科（莫斯科市）, eventType: 访问, startDate: 1954-10-04 00:00:00})",[:OCCURS_IN],"(:Location {name: 莫斯科市, nodeId: 623.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3357, name: 陈毅等人遭到武装警察的镇压与抓捕（里昂）, startDate: 1921-09-21 00:00:00})",[:OCCURS_IN],"(:Location {name: 里昂, nodeId: 423.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2411, name: 陈毅获得官费留学资格（成都市）, startDate: 1919})",[:OCCURS_IN],"(:Location {name: 成都市, nodeId: 339.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2439, name: 陈毅当选为中央人民政府委员会委员（北京市）, startDate: 1949-09-30 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2442, predicate: 参加, name: 陈毅出席亚非会议开幕式（万隆市）, eventType: 会议, startDate: 1955-04-18 00:00:00})",[:OCCURS_IN],"(:Location {name: 万隆市, nodeId: 1781.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2996, predicate: 迎接, name: 陈毅欢迎缅甸联邦吴努总理访华（北京市）, eventType: 访问, startDate: 1961-10-11 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3184, name: 陈毅当选为中央委员（北京市）, eventType: 任职, startDate: 1969-04-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3144, name: 陈毅宣布中国政府承认马尔代夫（北京市）, startDate: 1965-08-02 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3361, name: 陈毅被选为中共红四军前敌委员会委员（古田县）, eventType: 任职, startDate: 1929-12-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 古田县, nodeId: 797.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2750, name: 陈毅重游杜甫草堂（成都市）, eventType: 移动, startDate: 1959-11-08 00:00:00})",[:OCCURS_IN],"(:Location {name: 成都市, nodeId: 339.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2869, predicate: 会见, name: 陈毅接见加纳政府友好代表团（广州市）, eventType: 访问, startDate: 1963-01-16 00:00:00})",[:OCCURS_IN],"(:Location {name: 广州市, nodeId: 459.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2878, name: 陈毅陪同刘少奇到达越南访问（河内市）, eventType: 访问, startDate: 1963-05-10 00:00:00})",[:OCCURS_IN],"(:Location {name: 河内市, nodeId: 1720.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2973, predicate: 会见, name: 陈毅拜会越南总理范文同（莫斯科市）, startDate: 1961-07-05 00:00:00})",[:OCCURS_IN],"(:Location {name: 莫斯科市, nodeId: 623.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3170, predicate: 参加, endDate: 1966-05-26 00:00:00, name: 陈毅参加中共中央政治局扩大会议（北京市）, eventType: 会议, startDate: 1966-05-04 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2912, name: 陈毅欢迎老挝王国政府代表团（北京市）, eventType: 访问, startDate: 1964-04-04 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2546, name: 福尔曼采访陈毅（延安市）, startDate: 1944-10-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 延安市, nodeId: 1119.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2830, predicate: 会见, name: 陈毅随周恩来拜会蒙古部长会议主席泽登巴尔（乌兰巴托市）, startDate: 1960-05-27 00:00:00})",[:OCCURS_IN],"(:Location {name: 乌兰巴托市, nodeId: 2485.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2370, name: 朗诺将军陪同陈毅与周恩来从磅湛到暹粒（暹粒）, eventType: 移动, startDate: 1960-05-07 00:00:00})",[:OCCURS_IN],"(:Location {name: 暹粒, nodeId: 2371.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2370, name: 朗诺将军陪同陈毅与周恩来从磅湛到暹粒（暹粒）, eventType: 移动, startDate: 1960-05-07 00:00:00})",[:OCCURS_IN],"(:Location {name: 磅湛, nodeId: 2366.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3308, predicate: 联系, name: 陈毅写文章寄给徐志摩（北京市）, startDate: 1926-01-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3139, predicate: 迎接, name: 陈毅迎接越南民主共和国国会访华友好代表团（北京市）, startDate: 1965-07-12 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2608, predicate: 参加, endDate: 1957-10-09 00:00:00, name: 陈毅出席中共八届三中全会(扩大)（北京市）, eventType: 会议, startDate: 1957-09-20 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2616, predicate: 参加, name: 陈毅出席新四军第二次政治工作会议（泾县云岭）, eventType: 会议, startDate: 1939-02-07 00:00:00})",[:OCCURS_IN],"(:Location {name: 泾县云岭, nodeId: 1417.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2988, predicate: 参加, name: 陈毅出席《中国和尼泊尔边界条约》签字仪式（北京市）, startDate: 1961-10-05 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2493, predicate: 入学, name: 陈毅入新式学堂读初小（成都市）, startDate: 1910})",[:OCCURS_IN],"(:Location {name: 成都市, nodeId: 339.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3365, predicate: 创作, name: 陈毅创作《青松》（北京市）, startDate: 1960-12-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2872, predicate: 会见, name: 陈毅接见古巴政府经济代表团（上海市）, eventType: 访问, startDate: 1963-02-15 00:00:00})",[:OCCURS_IN],"(:Location {name: 上海市, nodeId: 375.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2643, predicate: 参加, name: 陈毅参加扩大后的中共华东局会议（徐州市）, eventType: 会议, startDate: 1949-02-15 00:00:00})",[:OCCURS_IN],"(:Location {name: 徐州市, nodeId: 1017.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2284, predicate: 创作, name: 陈毅创作《开国小言》五言诗一组（北京市）, startDate: 1949-10-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2523, predicate: 创作, name: 陈毅发表《四年抗战与新四军现状》（盐城市）, startDate: 1941-08-25 00:00:00})",[:OCCURS_IN],"(:Location {name: 盐城市, nodeId: 940.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3335, name: 李明杨、李长江和陈泰运向陈毅保证不参与韩德勤对新四军的进攻（姜堰区）, startDate: 1940-09-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 姜堰区, nodeId: 1304.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3117, endDate: 1965-04-10 00:00:00, name: 陈毅与阿拉伯联合共和国总统外交事务顾问萨布里会谈（北京市）, startDate: 1965-04-07 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3112, name: 陈毅签署中国和阿富汗边界议定书、文化合作协定以及经济技术合作协定（喀布尔市）, startDate: 1965-03-24 00:00:00})",[:OCCURS_IN],"(:Location {name: 喀布尔, nodeId: 2293.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3112, name: 陈毅签署中国和阿富汗边界议定书、文化合作协定以及经济技术合作协定（喀布尔市）, startDate: 1965-03-24 00:00:00})",[:OCCURS_IN],"(:Location {name: 喀布尔市, nodeId: 2293.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 1056, name: 陈毅、项英等发表“八八宣言”（南雄市）, startDate: 1937-08-08 00:00:00})",[:OCCURS_IN],"(:Location {name: 南雄市, nodeId: 676.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2728, predicate: 汇报, name: 陈毅作关于各民主党派人士自我改造问题的报告（北京市）, eventType: 会议, startDate: 1958-03-28 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2722, predicate: 参加, name: 陈毅出席第一届全国人民代表大会第五次会议（北京市）, eventType: 会议, startDate: 1958-02-02 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3007, predicate: 会见, name: 保加利亚新任驻华大使格奥尔基·库姆比利耶夫拜会陈毅（北京市）, startDate: 1962-06-11 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3125, predicate: 参加, name: 陈毅出席纪念万隆会议10周年的仪式（雅加达）, startDate: 1965-04-18 00:00:00})",[:OCCURS_IN],"(:Location {name: 雅加达, nodeId: 2298.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2390, name: 陈毅和周恩来访问拉瓦尔品第（拉瓦尔品第）, eventType: 访问, startDate: 1964-02-20 00:00:00})",[:OCCURS_IN],"(:Location {name: 拉瓦尔品第, nodeId: 2308.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2640, predicate: 召开, endDate: 1949-01-31 00:00:00, name: 陈毅和邓小平召开中原野战军高干会议（商丘市）, eventType: 会议, startDate: 1949-01-29 00:00:00})",[:OCCURS_IN],"(:Location {name: 商丘市, nodeId: 1626.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2919, predicate: 迎接, name: 陈毅欢迎委内瑞拉共产党中央代表团（北京市）, eventType: 访问, startDate: 1964-08-16 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3093, predicate: 会见, name: 陈毅陪同毛泽东和林彪接见比斯塔等人（北京市）, startDate: 1968-05-28 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3105, name: 陈毅到机场欢迎巴基斯坦总统穆罕默德·尤阿布·汗元帅（北京市）, startDate: 1965-03-03 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2383, name: 陈毅与周恩来访问蒲甘（蒲甘）, eventType: 访问, startDate: 1961-01-08 00:00:00})",[:OCCURS_IN],"(:Location {name: 蒲甘, nodeId: 2382.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3127, predicate: 会见, name: 陈毅参加周恩来与苏班德里约的会谈（广州市）, startDate: 1965-05-28 00:00:00})",[:OCCURS_IN],"(:Location {name: 广州市, nodeId: 459.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2338, predicate: 参加, name: 陈毅出席德意志民主共和国成立5周年国庆典礼（柏林市）, eventType: 聚集, startDate: 1954-10-06 00:00:00})",[:OCCURS_IN],"(:Location {name: 柏林市, nodeId: 2339.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3126, predicate: 会见, name: 陈毅迎接越南总理范文同（昆明市）, startDate: 1965-04-23 00:00:00})",[:OCCURS_IN],"(:Location {name: 昆明市, nodeId: 1622.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3000, predicate: 参加, endDate: 1962-04-18 00:00:00, name: 陈毅出席政协全国委员会三届三次会议（北京市）, eventType: 会议, startDate: 1962-03-23 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 894, predicate: 追悼, name: 陈毅写诗悼念萧菊英（江西省）, startDate: 1931-11-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 江西省, nodeId: 802.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2677, predicate: 参加, name: 陈毅出席苏北抗敌和平会议（曲塘镇）, eventType: 会议, startDate: 1940-10-31 00:00:00})",[:OCCURS_IN],"(:Location {name: 曲塘镇, nodeId: 2675.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2438, predicate: 参加, endDate: 1949-09-30 00:00:00, name: 陈毅出席中国人民政治协商会议第一届全体会议（北京市）, eventType: 会议, startDate: 1949-09-21 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2678, predicate: 参加, name: 陈毅出席苏北临时参议会（海安市）, eventType: 会议, startDate: 1940-11-15 00:00:00})",[:OCCURS_IN],"(:Location {name: 海安市, nodeId: 943.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2369, name: 陈毅开始读《共产党宣言》（巴黎）, startDate: 1920})",[:OCCURS_IN],"(:Location {name: 巴黎, nodeId: 397.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2793, predicate: 参加, name: 陈毅作《掌握思想领导运用自我批评武器做好工作》的专题发言（北京市）, eventType: 会议, startDate: 1951-10-29 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2944, predicate: 会见, name: 陈毅会见中尼边界联合委员会尼泊尔首席代表帕德马・巴哈杜尔・卡特里（北京市）, startDate: 1961-01-23 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2917, predicate: 迎接, name: 陈毅欢迎马里政府代表团（北京市）, eventType: 访问, startDate: 1964-06-19 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2503, name: 藏员向陈毅献哈达（拉萨市）, eventType: 聚集, startDate: 1956-04-27 00:00:00})",[:OCCURS_IN],"(:Location {name: 拉萨市, nodeId: 1320.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 759, predicate: 参加, name: 陈毅按中央指示赴上海参加军事会议（龙岩市）, eventType: 会议, startDate: 1929-08-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 龙岩市, nodeId: 731.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 820, predicate: 参加, name: 陈毅出席南阳会议（上杭县）, eventType: 会议, startDate: 1930-06-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 上杭县, nodeId: 758.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2989, name: 陈毅和周恩来陪同尼泊尔国王马亨德拉访问西安（西安市）, eventType: 访问, startDate: 1961-10-06 00:00:00})",[:OCCURS_IN],"(:Location {name: 西安市, nodeId: 2991.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3147, predicate: 会见, name: 陈毅与尼泊尔大臣会议副主席比斯塔会谈（北京市）, startDate: 1965-08-26 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2774, predicate: 参加, name: 陈毅参加上海市委扩大会议（上海市）, eventType: 会议, startDate: 1950-09-25 00:00:00})",[:OCCURS_IN],"(:Location {name: 上海市, nodeId: 375.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2977, predicate: 参加, name: 陈毅出席《中朝友好合作互助条约》签字仪式（北京市）, startDate: 1961-07-11 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2923, predicate: 迎接, name: 陈毅欢迎西哈努克亲王（广州市）, eventType: 访问, startDate: 1964-09-26 00:00:00})",[:OCCURS_IN],"(:Location {name: 广州市, nodeId: 459.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2582, predicate: 参加, endDate: 1953-09-11 00:00:00, name: 陈毅参加政协第一届全国委员会常务委员会举行的第四十九次会议(扩大)（北京市）, eventType: 会议, startDate: 1953-09-08 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2955, predicate: 会见, name: 马里首任驻华大使科尼巴·普莱亚拜会陈毅（北京市）, startDate: 1961-05-06 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3205, predicate: 参加, endDate: 1969-09-06 00:00:00, name: 陈毅出席在庐山举行的中共九届二中全会（庐山）, eventType: 会议, startDate: 1969-08-23 00:00:00})",[:OCCURS_IN],"(:Location {name: 庐山, nodeId: 3222.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 1564, name: 刘伯承、陈毅赴中央研究渡江作战问题（西柏坡）, eventType: 移动, startDate: 1948-12-28 00:00:00})",[:OCCURS_IN],"(:Location {name: 西柏坡, nodeId: 1001.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2584, predicate: 汇报, name: 陈毅在上海市干部大会上作报告（上海市）, eventType: 会议, startDate: 1953-10-10 00:00:00})",[:OCCURS_IN],"(:Location {name: 上海市, nodeId: 375.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2969, predicate: 会见, name: 陈毅拜会瑞士联邦政治部长马克斯·彼蒂彼爱（日内瓦）, startDate: 1961-05-29 00:00:00})",[:OCCURS_IN],"(:Location {name: 日内瓦, nodeId: 1450.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2898, name: 陈毅和周恩来访问摩洛哥（拉巴特市）, eventType: 访问, startDate: 1963-12-27 00:00:00})",[:OCCURS_IN],"(:Location {name: 拉巴特市, nodeId: 2935.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 1629, predicate: 参加, name: 陈毅主持新四军重建军部大会（盐城市）, eventType: 会议, startDate: 1941-01-25 00:00:00})",[:OCCURS_IN],"(:Location {name: 盐城市, nodeId: 940.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 412, predicate: 召开, name: 陈毅同周恩来等召开拒款大会（巴黎）, eventType: 会议, startDate: 1921-06-30 00:00:00})",[:OCCURS_IN],"(:Location {name: 巴黎, nodeId: 397.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2528, predicate: 召开, name: 陈毅召开新四军军分会会议（盐城市）, eventType: 会议, startDate: 1942-03-25 00:00:00})",[:OCCURS_IN],"(:Location {name: 盐城市, nodeId: 940.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2556, predicate: 指挥, name: 陈毅和黎玉负责津浦前线指挥部（邹城市）, eventType: 战争, startDate: 1945-10-15 00:00:00})",[:OCCURS_IN],"(:Location {name: 邹城市, nodeId: 2555.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3169, predicate: 会见, name: 周恩来和陈毅接见柬中友好协会代表团（北京市）, startDate: 1966-05-02 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2636, predicate: 参加, name: 陈毅为华东野战军前委扩大会议作总结（贾汪区）, eventType: 会议, startDate: 1949-01-25 00:00:00})",[:OCCURS_IN],"(:Location {name: 贾汪区, nodeId: 2634.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2743, name: 陈毅被任命为中央军委副主席、常委（北京市）, eventType: 任职, startDate: 1959-09-26 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 982, name: 陈毅任中华苏维埃中央政府办事处主任（瑞金市）, eventType: 任职, startDate: 1934-10-01 00:00:00})",[:OCCURS_IN],"(:Location {name: 瑞金市, nodeId: 692.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3028, predicate: 参加, name: 陈毅出席《中朝边界条约》签字仪式（平壤市）, startDate: 1962-10-12 00:00:00})",[:OCCURS_IN],"(:Location {name: 平壤市, nodeId: 2357.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 2998, name: 陈毅宣布中国政府承认坦噶尼喀（北京市）, startDate: 1961-12-08 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
"(:Person {name: 陈毅, nodeId: agent_person/7993})",[:参与],"(:Event {eventId: 3188, endDate: 1966-09-29 00:00:00, name: 陈毅和周恩来、陶铸等观看《红灯记》、《沙家浜》（北京市）, startDate: 1966-09-28 00:00:00})",[:OCCURS_IN],"(:Location {name: 北京市, nodeId: 348.0})"
