Unnamed: 0,*出处ISBN/AS-ID,*页码,被拆解语句,*事件名【主体名+动词+客体名（地点名）】,*事件ID,*起始日期（YYYY/MM/DD）,结束日期（YYYY/MM/DD）,时间备注（非公历纪年，无年份信息）,*地点,*地点ID,*主体人物/组织,*主体ID,客体人物/组织,客体ID,关系,人物备注,谓词,事件类型,作品,作品ID,作品备注,会议,会议ID,会议备注,其他说明
,7010021562,450,华中局、新四军军部由苏北淮阴进抵山东临沂城，与中共中央山东分局及山东军区会合，随后成立中国共产党华东中央局，统一领导华中、山东的全盘工作。12月18日中共中央书记处复电同意由陈毅、张云逸、黎玉、饶漱石、舒同为中共华东局常委，以饶漱石为书记，陈毅、黎玉为副书记。,陈毅任中共华东局常委（临沂市）,2558,1945-12-18 00:00:00,,,临沂市,1551.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,453,中共中央军委正式决定新四军军部与山东军区合并，统一指挥山东和华中部队。陈毅任新四军军长兼山东军区司令员，张云逸任新四军第一副军长兼山东军区第一副司令员。,陈毅任新四军军长（临沂市）,2559,1946-01-07 00:00:00,,,临沂市,1551.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,455,华东局和山东军区在临沂召开区党委、军区、纵队领导干部会议。陈毅在会上传达中共中央2月1日《关于目前形势和任务的指示》。,陈毅参加华东局和山东军区干部会议（临沂市）,2560,1946-02-11 00:00:00,,,临沂市,1551.0,陈毅,agent_person/7993,,,,,参加,会议,,,,,,,
,7010021562,455,华东局和山东军区在临沂召开区党委、军区、纵队领导干部会议。陈毅在会上传达中共中央2月1日《关于目前形势和任务的指示》。,陈毅传达中共中央《关于目前形势和任务的指示》（临沂市）,2716,1946-02-11 00:00:00,,,临沂市,1551.0,陈毅,agent_person/7993,,,,,汇报,会议,,,,,,,
,7010021562,460,为打击国民党收编的在停战令生效后不断向解放去挑衅的伪军，陈毅等以山东野战军第一纵队、第七、第八师一部，鲁中军区、渤海军区和胶东军区部队，在胶济、津浦路上进行讨逆战役。,陈毅等进行讨逆战役,2562,1946-06-07 00:00:00,,,,,陈毅,agent_person/7993,,,,,指挥,战争,,,,,,,
,7010021562,466,在山野前方指挥部干部会议上作《如何取得战争的胜利》的报告，阐明要坚持运动战和歼灭战的方针，争取自卫战争的胜利。,陈毅作《如何取得战争的胜利》的报告（临沂市）,2717,1946-07-14 00:00:00,,,临沂市,1551.0,陈毅,agent_person/7993,,,,,汇报,会议,,Un1,如何取得战争的胜利,,,,
,7010021562,466,在山野前方指挥部干部会议上作《如何取得战争的胜利》的报告，阐明要坚持运动战和歼灭战的方针，争取自卫战争的胜利。,陈毅参加山野前方指挥部干部会议（临沂市）,2563,1946-07-14 00:00:00,,,临沂市,1551.0,陈毅,agent_person/7993,,,,,汇报,会议,,,,,Un2,山野前方指挥部干部会议,
,7010021562,477,陈毅与粟裕等为了保证不失时机地发起战役，令第一纵队、第八师于当晚向新安镇西南的新店子以北地区隐蔽开进。,宿北战役,2576,1946-12-13 00:00:00,1946-12-15,,"
",,陈毅,agent_person/7993,,,,,,,,,,,,,
,7010021562,477,黄昏，与粟裕等指挥部队对敌整编第六十九师发起攻击，经4昼夜激战，全歼该敌2万余人。战后，陈毅作《宿北大捷》诗一首以示庆贺。,陈毅作《宿北大捷》（宿迁市）,2578,1946-12-15 00:00:00,,,宿迁市,2577.0,陈毅,agent_person/7993,,,,,创作,,宿北大捷,21471,,,,,
,7010021562,481,新四军军部改为华东军区机关，华中野战军与山东野战军合并，组成华东野战军，建立党的华东野战军前线委员会。,华东野战军成立（临沂市）,1406,1947-01-01 00:00:00,,,临沂市,1551.0,华东野战军,agent_corporate_entity/3321,,,,,成立,,,,,,,,
