序号,label
1,陈毅
2,周恩来
3,张茜
4,叶挺
5,粟裕
6,韩德勤
7,华中新四军八路军总指挥部
8,刘少奇
9,蒋介石
10,中共中央军事委员会
11,赖传珠
12,罗生特
13,毛泽东
14,陈昊苏
15,阿英
16,陈丹淮
17,福尔曼
18,中国共产党
19,饶漱石
20,黎玉
21,中央政治局
