Unnamed: 0,*出处ISBN/AS-ID,*页码,被拆解语句,*事件名【主体名+动词+客体名（地点名）】,*事件ID,*起始日期（YYYY/MM/DD）,结束日期（YYYY/MM/DD）,时间备注（非公历纪年，无年份信息）,*地点,*地点ID,*主体人物/组织,*主体ID,客体人物/组织,客体ID,关系,人物备注,谓词,事件类型,作品,作品ID,作品备注,会议,会议ID,会议备注,其他说明
,7010021562,67,陈毅发起组织中法大学文学团体西山文社，并在《晨报》副刊《文学旬刊》上发表成立启事，向文坛表白了他们美好的愿望。,陈毅发起成立西山文社（北京市）,475,1925-04-01,,1925年4月初,北京市,348.0,陈毅,agent_person/7993,,,,,成立,,,,,,,,
,7010021562,68,“五卅”惨案的消息传到北京，陈毅和王斐然等步行进程参加游行示威，并在西郊组织讲演队，进行反帝宣传，为惨案中死伤的同胞募捐。,陈毅参加“五卅惨案”游行示威（北京市）,481,1925-06-01,,月初,北京市,348.0,陈毅,agent_person/7993,,,,,参加,聚集,,,,,,,
,7010021562,69,根据中国共产党第四届中央执行委员会第二次扩大会议精神，中共北京地委与北京区委（后改为北方区委）分开，单独成立。陈毅参加了地委的工作，并根据党组织的决定，为加强国民革命运动，以共产党员身份加入国民党，担任国民党北京特别市党部执行委员、国民革命运动委员会负责人，并兼任北京学生总会的党团书记，但名义上仍保持着中法大学的学籍。,陈毅担任国民革命运动委员会负责人（北京市）,2498,1925-10-01,,月初,北京市,348.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,69,根据中国共产党第四届中央执行委员会第二次扩大会议精神，中共北京地委与北京区委（后改为北方区委）分开，单独成立。陈毅参加了地委的工作，并根据党组织的决定，为加强国民革命运动，以共产党员身份加入国民党，担任国民党北京特别市党部执行委员、国民革命运动委员会负责人，并兼任北京学生总会的党团书记，但名义上仍保持着中法大学的学籍。,陈毅担任国民党北京特别市党部执行委员（北京市）,2497,1925-10-01,,月初,北京市,348.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,69,根据中国共产党第四届中央执行委员会第二次扩大会议精神，中共北京地委与北京区委（后改为北方区委）分开，单独成立。陈毅参加了地委的工作，并根据党组织的决定，为加强国民革命运动，以共产党员身份加入国民党，担任国民党北京特别市党部执行委员、国民革命运动委员会负责人，并兼任北京学生总会的党团书记，但名义上仍保持着中法大学的学籍。,陈毅参加北京地委工作（北京市）,489,1925-10-01,,月初,北京市,348.0,陈毅,agent_person/7993,,,,,参加,,,,,,,,
,7010021562,69,根据中国共产党第四届中央执行委员会第二次扩大会议精神，中共北京地委与北京区委（后改为北方区委）分开，单独成立。陈毅参加了地委的工作，并根据党组织的决定，为加强国民革命运动，以共产党员身份加入国民党，担任国民党北京特别市党部执行委员、国民革命运动委员会负责人，并兼任北京学生总会的党团书记，但名义上仍保持着中法大学的学籍。,陈毅兼任北京学生总会党团书记（北京市）,2499,1925-10-01,,月初,北京市,348.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,72,和李大钊参加北京各界600多人在北大三院大礼堂举行的列宁逝世两周年纪念大会，并在会上演讲。,陈毅参加列宁逝世两周年纪念大会（北京市）,493,1926-01-21,,,北京市,348.0,陈毅,agent_person/7993,列宁,agent_person/15087,受影响,,参加,会议,,,,,Un2,列宁逝世两周年纪念大会,
,7010021562,78,上午10时，在陈毅等人的积极发动下，北京各界200多个团体约万余人在天安门前举行“反对八国通牒示威大会”。,陈毅发动“反对八国通牒示威大会”（北京市）,509,1926-03-18,,,北京市,348.0,陈毅,agent_person/7993,,,,,参加,,,,,,,,
,7010021562,86,经刘愿安推荐，前往合川县川军第二十八军第三师（称合三师）工作，被任命为该师政治部秘书。,陈毅任川军第二十八军第三师政治部秘书（合川区）,544,1926-12-15,,,合川区,545.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,92,陈毅奉中共中央军委的指示，随教导团2000余人，从武昌煤炭码头，乘坐由几艘小火轮拖着的若干木船，沿长江“东下讨蒋”。,陈毅随教导团沿长江“东下讨蒋”（武汉市）,563,1927-08-02,,,武汉市,524.0,陈毅,agent_person/7993,,,,,,战争,,,,,,,
