Unnamed: 0,*出处ISBN/AS-ID,*页码,被拆解语句,*事件名【主体名+动词+客体名（地点名）】,*事件ID,*起始日期（YYYY/MM/DD）,结束日期（YYYY/MM/DD）,时间备注（非公历纪年，无年份信息）,*地点,*地点ID,*主体人物/组织,*主体ID,客体人物/组织,客体ID,关系,人物备注,谓词,事件类型,作品,作品ID,作品备注,会议,会议ID,会议备注,其他说明
,7010021562,357,和刘少奇致电毛泽东，说：“如日本向苏联进攻，我们当号召全国向日寇反攻，即使国民党不积极反攻，我八路、新四亦必须独立反攻，以牵制日本，敌后某些据点可能放弃。”,陈毅致电毛泽东（盐城市）,2522,1941-07-12,,,盐城市,940.0,陈毅,agent_person/7993,毛泽东,agent_person/8176,同事,,联系,,,,,,,,
,7010021562,362,在《八路军军政杂志》上发表《四年抗战与新四军现状》一文。,陈毅发表《四年抗战与新四军现状》（盐城市）,2523,1941-08-25,,,盐城市,940.0,陈毅,agent_person/7993,,,,,创作,,,Un1,四年抗战与新四军现状,,,,
,7010021562,363,安抵淮海区。,陈毅抵达淮海区（宿迁市）,2524,1941-09-30,,,宿迁市,940.0,陈毅,agent_person/7993,,,,,,移动,,,,,,,
,7010021562,367,参加四师师直机关和直属部队于半城召开的庆祝1942年元旦佳节会，并在会上作《目前形势和今后工作方针》的报告。,陈毅作《目前形势和今后工作方针》的报告（半城镇）,2525,1942-01-01,,,半城镇,1015.0,陈毅,agent_person/7993,,,,,汇报,,,Un1,目前形势和今后工作方针,,,,
,7010021562,369-370,在他的办公室召开华中局会议，讨论四师及二师干部问。,陈毅召开华中局会议（盐城市）,2526,1942-01-29,,,盐城市,940.0,陈毅,agent_person/7993,,,,,召开,会议,,,,,Un2,华中局会议,
,7010021562,370,带病出席华中抗大第五分校毕业典礼大会，并作讲话，后由担架抬回军部。,陈毅出席华中抗大第五分校毕业典礼大会（盐城市）,2527,1942-02-07,,,盐城市,940.0,陈毅,agent_person/7993,,,,,参加,聚集,,,,,Un2,华中抗大第五分校毕业典礼大会,
,7010021562,372,下午，召开新四军军分会会议，讨论华中抗大工作，决定成立审计委及教委会。,陈毅召开新四军军分会会议（盐城市）,2528,1942-03-25,,,盐城市,940.0,陈毅,agent_person/7993,,,,,召开,会议,,,,,Un2,新四军军分会,
,7010021562,376,在盐阜区各界人士座谈会上发表演说，对座谈会的形式，对 6 日各位代表的发言进行肯定，认为“中国 30 年来能这样聚合党政军民一起来商量国家大事，来商量老百姓自己的事，而且可以直言无隐，可以面折廷争，既不阿谀权贵，又不压迫下层，恐怕只有今天抗日民主根据地才可以找得到。”鉴于根据地现行参议会的初步办法不能满足人民和政府的需要，建议立即做好下列工作：第一，普遍实施新乡制；第二，在积极组训工人农民方面；第气，在建立抗战的正常杜会秩序方面；第四，关于民运工作方面；第五，关于呼吁加强团结问题。,陈毅在盐阜区各界人士座谈会上发表演说（盐城市）,2529,1942-05-07,,,盐城市,940.0,陈毅,agent_person/7993,,,,,汇报,,,,,,Un2,盐阜区各界人士座谈会,
,7010021562,376,应邀参加阜宁县第二届农救会代表大会，并作重要讲话，指出农民组织农救会是合乎天理、人情和国法的。对减租减息政策作了详细论述。,陈毅参加阜宁县第二届农救会代表大会（盐城市）,2530,1942-05-16,,,盐城市,940.0,陈毅,agent_person/7993,,,,,参加,聚集,,,,,Un2,阜宁县第二届农救会代表大会,
,7010021562,378,第一个儿子在盐阜区侉周停翅港出生，取名小侉，后取学名昊苏。,陈毅长子昊苏出生（盐城市）,2531,1942-05-25,,,盐城市,940.0,陈昊苏,agent_person/10566,陈毅,agent_person/7993,亲缘,,,,,,,,,,
,7010021562,380,下午，召开整顿“三风”会议，安排抗大、党校用3个月、部队用5个月时间进行整风，并研究实施的具体办法。,陈毅召开整顿“三风”会议（盐城市）,2532,1942-06-18,,,盐城市,940.0,陈毅,agent_person/7993,,,,,召开,会议,,,,,Un2,整顿“三风”会议,
,7010021562,381,晚上，出席新四军军部在阜宁县驻地召开的1000人大会，纪念中国共产党成立21周年。,陈毅出席新四军军部在阜宁县驻地召开的1000人大会（盐城市）,2533,1942-07-01,,,盐城市,940.0,陈毅,agent_person/7993,,,,,参加,聚集,,,,,,,
,7010021562,382,与张茜欢迎从上海辗转来到苏北抗日根据地阜宁县停翅港的上海著名文化人士阿英（钱杏邨）及其全家，说要阿英来苏北的用意，是想通过调集一批上海文化人来重整军区文化工作，并问郭沫若、茅盾等人近况，还告诉阿英，10 年前他就读过他的评论著作。,陈毅欢迎上海文化人士阿英（盐城市）,2534,1942-07-14,,,盐城市,940.0,陈毅,agent_person/7993,阿英,agent_person/15063,朋友,,迎接,,,,,,,,
,7010021562,386,到华中党校作整风总结报告。,陈毅作整风总结报告（盐城市）,2535,1942-08-07,,,盐城市,940.0,陈毅,agent_person/7993,,,,,汇报,,,,,,,,
,7010021562,393,向中共中央和毛泽东报告自己对于统一华中领导的意见。,陈毅向中共中央和毛泽东报告对于统一华中领导的意见（盐城市）,2536,1942-11-19,,,盐城市,940.0,陈毅,agent_person/7993,毛泽东,agent_person/8176,,,汇报,,,,,,,,
,7010021562,395,陈毅与饶漱石到华中抗大总分校研究班参加开学典礼。,陈毅参加华中抗大总分校研究班开学典礼（盐城市）,2537,1942-12-17,,,盐城市,940.0,陈毅,agent_person/7993,,,,,参加,聚集,,,,,,,
,7010021562,397,和饶漱石等率领华中局和军部到达淮南永丰附近宿营，部队住得很散。,陈毅到达淮南永丰附近（戴楼镇）,2538,1943-01-01,,,戴楼镇,3401.0,陈毅,agent_person/7993,,,,,,移动,,,,,,,
,7010021562,398,和饶漱石率华中局和军部经10余天长途跋涉，于是日转移到淮南路东抗日根据地盱眙县黄花塘村，原驻此地的二师师部迁到天长县大刘郢。,陈毅率部抵达黄花塘（黄花塘镇）,1310,1943-01-10,,,黄花塘村,1115.0,陈毅,agent_person/7993,,,,,,移动,,,,,,,
,7010021562,400,与饶漱石等向第三、第四、第一师发出反“扫荡”作战指示。指出敌“对盐阜区之‘扫荡’是局部性的，非华中全区性，时间似不会很长。”据此，“我们的中心任务是坚持与保卫盐阜区根据地，粉碎敌人‘扫荡’，并适当配合友军作战，扩大我之政治影响，以促进全国团结和国共关系的改善。”,陈毅指示第三、第四、第一师进行反“扫荡”作战（黄花塘镇）,2539,1943-02-16,,,盐城市,940.0,陈毅,agent_person/7993,,,,,指示,,,,,,,,
,7010021562,405,与新华社华中分社社长范长江一行离开军部，前往四师所在地半城。,陈毅前往四师所在地半城（半城镇）,2540,1943-03-23,,,半城镇,1015.0,陈毅,agent_person/7993,,,,,,移动,,,,,,,
,7010021562,411,新四军召开中国共产党成立22周年纪念大会，陈毅在会上作中共历史及目前华中工作任务的报告。,陈毅参加中国共产党成立22周年纪念大会（黄花塘镇）,2541,1943-07-01,,,黄花塘镇,1115.0,陈毅,agent_person/7993,,,,,汇报,会议,,,,,Un2,中国共产党成立22周年纪念大会,
,7010021562,411,新四军召开中国共产党成立22周年纪念大会，陈毅在会上作中共历史及目前华中工作任务的报告。,陈毅作报告（黄花塘镇）,3501,1943-07-01,,,黄花塘镇,1115.0,陈毅,agent_person/7993,,,,,汇报,会议,,,,,Un2,中国共产党成立22周年纪念大会,
,7010021562,416,次子出生，取名丹淮。,陈毅次子丹淮出生（黄花塘镇）,2542,1943-09-28,,,黄花塘镇,1115.0,陈丹淮,agent_person/8834,陈毅,agent_person/7993,亲缘,,,,,,,,,,
,7010021562,427,抵延安，与毛泽东、刘少奇、彭德怀、李富春等合影。,陈毅抵达延安（延安市）,2543,1944-03-07,,,延安市,1119.0,陈毅,agent_person/7993,,,,,,移动,,,,,,,
,7010021562,430,撰毕给中共中央和中央军委的一份《1938年至1943年的华中工作总结报告》。,陈毅提交《1938年至1943年的华中工作总结报告》（延安市）,2544,1944-04-01,,,延安市,1119.0,陈毅,agent_person/7993,,,,,汇报,,,Un1,1938年至1943年的华中工作总结报告,,,,
,7010021562,435,为中共中央起草《关于开展苏浙皖地区工作给华中局的指示》。,陈毅起草《关于开展苏浙皖地区工作给华中局的指示》（延安市）,2545,1944-09-27,,,延安市,1119.0,陈毅,agent_person/7993,,,,,创作,,,Un1,关于开展苏浙皖地区工作给华中局的指示,,,,
,7010021562,436,接受福尔曼采访，向福尔曼介绍说：1938年，新四军开入长江一带，立即开始打日军、伪军、地方盗匪；新四军没有后方根据地来供给作战的必要物资，因此总得自动地找寻出敌人的弱点，以便进攻这些弱点，求得武器与给养。,福尔曼采访陈毅（延安市）,2546,1944-10-01,,,延安市,1119.0,福尔曼,agent_person/15062,陈毅,agent_person/7993,,,,,,,,,,,
,7010021562,440,参加中共六届七中全会全体会议，会议听取周恩来关于同国民党谈判情况的报告。,陈毅参加中共六届七中全会全体会议（延安市）,2549,1945-02-18,,,延安市,1119.0,陈毅,agent_person/7993,,,,,参加,会议,,,,中国共产党六届七中全会,2714,,
,7010021562,442,出席在延安杨家岭中央大礼堂举行的中国共产党第七次全国代表大会开幕式。,中国共产党第七次全国代表大会召开（延安市）,2280,1945-04-23,1945-06-11,,延安市,1119.0,中国共产党,agent_corporate_entity/1952,,,,,召开,会议,,,,中国共产党第七次全国代表大会,2281,,
,7010021562,442,并作颂诗《七大开幕》一首：百年积弱叹华夏，八载干戈仗延安。试问九州谁作主？万众瞩目清凉山。,陈毅创作《七大开幕》（延安市）,2282,1945-04-23,,,延安市,1119.0,陈毅,agent_person/7993,,,,,创作,,七大开幕,21456,,,,,
,7010021562,442,代表华中、新四军在七大上发言，详尽地说明了党在新四军和华中工作的历史，深刻地总结了党领导新四军和华中人民抗击日本侵略者的经验。,陈毅在中共七大上发言（延安市）,1289,1945-05-01,,,延安市,1119.0,陈毅,agent_person/7993,,,,,汇报,会议,,,,中国共产党第七次全国代表大会,2281,,
,7010021562,443,出席中共七大。大会公布昨日正式中央委员选举结果，共选出正式中央委员44人，陈毅当选正式中央委员。接着，大会听取毛泽东作关于选举候补中央委员问题的报告。毛泽东报告后，大会进行选举候补中央委员的投票。,陈毅出席中共七大（延安市）,2550,1945-06-10,,,延安市,1119.0,陈毅,agent_person/7993,,,,,参加,会议,,,,中国共产党第七次全国代表大会,2281,,
,7010021562,445,出席在杨家岭召开的中共七届一中全会第二次会议。会议通过分别根据六届七中全会和七大的讨论意见修改后的《关于若干历史问题的决议》和《中国共产党章程》，会议着重讨论时局问题。,陈毅出席中共七届一中全会第二次会议（延安市）,2551,1945-08-09,,,延安市,1119.0,陈毅,agent_person/7993,,,,,参加,会议,,,,中国共产党七届二中全会,2715,,
,7010021562,446,出席中共中央政治局扩大会议。因蒋介石电邀毛泽东赴重庆谈判，会议决定毛泽东、周恩来等到重庆同国民党进行谈判。会议还决定组成以毛泽东为首的新的中共中央革命军事委员会，陈毅为12委员之一。,陈毅出席中共中央政治局扩大会议（延安市）,2552,1945-08-23,,,延安市,1119.0,陈毅,agent_person/7993,,,,,参加,会议,,,,,Un2,中共中央政治局扩大会议,
,7010021562,446,出席中共中央政治局扩大会议。因蒋介石电邀毛泽东赴重庆谈判，会议决定毛泽东、周恩来等到重庆同国民党进行谈判。会议还决定组成以毛泽东为首的新的中共中央革命军事委员会，陈毅为12委员之一。,陈毅被选为中共中央革命军事委员会委员（延安市）,1934,1945-08-23,,,延安市,1119.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,447,因山东八路军主力及大部分干部调往东北，由新四军调8万兵力到山东和冀东。将江南新四军主力撤返江北。罗荣桓到东北工作。山东分局改为华东局，陈毅，饶漱石到山东工作。,陈毅、饶漱石被派到山东工作（延安市）,2553,1945-09-19,,,延安市,1119.0,陈毅,agent_person/7993,饶漱石,agent_person/8352,同事,,,任职,,,,,,,
,7010021562,448,遵照中央军委指示，成立津浦前线指挥部，由陈毅和黎玉负责。是日晚，陈毅和黎玉率指挥部进驻邹县香城，着手组织津浦路徐（州）济（南）段战役。,陈毅和黎玉负责津浦前线指挥部（邹城市）,2556,1945-10-15,,,邹城市,2555.0,陈毅,agent_person/7993,黎玉,agent_person/15088,同事,,指挥,战争,,,,,,,
,7010021562,449,中共中央决定陈毅兼山东军区司令员。,中共中央、中央军委决定陈毅兼山东军区司令员（延安市）,1019,1945-10-20,,,延安市,1119.0,中央政治局,agent_corporate_entity/2517,陈毅,agent_person/7993,同事,,,任职,,,,,,,
,7010021562,450,华中局、新四军军部由苏北淮阴进抵山东临沂城，与中共中央山东分局及山东军区会合，随后成立中国共产党华东中央局，统一领导华中、山东的全盘工作。12月18日中共中央书记处复电同意由陈毅、张云逸、黎玉、饶漱石、舒同为中共华东局常委，以饶漱石为书记，陈毅、黎玉为副书记。,中国共产党华东中央局成立（临沂市）,2557,1945-10-25,,,临沂市,1551.0,中央政治局,agent_corporate_entity/2517,,,,,成立,,,,,,,,
