Source,Target,Type,Weight
陈毅,项英,Directed,4
陈毅,萧菊英,Directed,2
陈毅,赖月明,Directed,2
项英,陈毅,Directed,2
陈毅,列宁,Directed,1
毛泽东,朱德,Directed,1
陈毅,毛泽东,Directed,1
中央政治局,陈毅,Directed,1
陈毅,鲁炯雯,Directed,1
