Unnamed: 0,*出处ISBN/AS-ID,*页码,被拆解语句,*事件名【主体名+动词+客体名（地点名）】,*事件ID,*起始日期（YYYY/MM/DD）,结束日期（YYYY/MM/DD）,时间备注（非公历纪年，无年份信息）,*地点,*地点ID,*主体人物/组织,*主体ID,客体人物/组织,客体ID,关系,人物备注,谓词,事件类型,作品,作品ID,作品备注,会议,会议ID,会议备注,其他说明
,7010021562,565,上海市人民政府（简称市政府）宣告成立，陈毅任市长，曾山、潘汉年、韦悫为副市长。,陈毅任上海市市长（上海市）,1314,1949-05-28 00:00:00.000000000,,,上海市,375.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,565,上海市人民政府（简称市政府）宣告成立，陈毅任市长，曾山、潘汉年、韦悫为副市长。,上海市人民政府成立（上海市）,2672,1949-05-28 00:00:00.000000000,,,上海市,375.0,上海市人民政府,agent_corporate_entity/2720,,,,,,,,,,,,,
,7010021562,565,上海市人民政府（简称市政府）宣告成立，陈毅任市长，曾山、潘汉年、韦悫为副市长。,陈毅任上海市市长（上海市）,1314,1949-05-28 00:00:00.000000000,,,上海市,375.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,565,下午3时，上海工人协会、职工协会在大光明电影院举行了“五卅”纪念大会，成立上海总工会筹备委员会。,上海总工会筹备委员会成立（上海市）,2687,1949-05-31 00:00:00.000000000,,,上海市,375.0,上海总工会筹备委员会,agent_corporate_entity/3353,,,,,,,,,,,,,
,7010021562,565,下午3时，上海工人协会、职工协会在大光明电影院举行了“五卅”纪念大会，成立上海总工会筹备委员会。,上海工人协会、职工协会在大光明电影院举行“五卅”纪念大会（上海市）,2686,1949-05-31 00:00:00.000000000,,,上海市,375.0,上海工人协会,agent_corporate_entity/3351,,,,,,会议,,,,,Un2,“五卅”纪念大会,
,7010021562,565,下午3时，上海工人协会、职工协会在大光明电影院举行了“五卅”纪念大会，成立上海总工会筹备委员会。,上海工人协会、职工协会在大光明电影院举行“五卅”纪念大会（上海市）,2686,1949-05-31 00:00:00.000000000,,,上海市,375.0,上海职工协会,agent_corporate_entity/3352,,,,,,会议,,,,,Un2,“五卅”纪念大会,
,7010021562,568,下午2时，上海市人民政府在中国银行四楼邀集上海产业界举行座谈会。陈毅在会上致辞说：中共30年的努力只是做到了扫除障碍，现在要着手解决建设问题。,陈毅在上海产业界座谈会上讲话（上海市）,2447,1949-06-02 00:00:00.000000000,,,上海市,375.0,陈毅,agent_person/7993,,,,,汇报,会议,,,,,Un2,上海产业界座谈会,
,7010021562,568,第二十五军解放了崇明岛。江苏省宣告全部解放。至此，渡江战役结束。,第二十五军解放崇明岛（崇明岛）,2688,1949-06-02 00:00:00.000000000,,,崇明岛,433.0,第三野战军第二十五军,agent_corporate_entity/3354,,,,,,战争,,,,,,,
,7010021562,568,第二十五军解放了崇明岛。江苏省宣告全部解放。至此，渡江战役结束。,渡江战役结束,3503,1949-06-02 00:00:00.000000000,,,,,,,,,,,,战争,,,,,,,
,7010021562,569,和粟裕签发《上海市军管会关于将国民党政府国营事业官僚资本、战争罪犯财产收归国有的布告》。,陈毅和粟裕签发《上海市军管会关于将国民党政府国营事业官僚资本、战争罪犯财产收归国有的布告》（上海市）,2689,1949-06-04 00:00:00.000000000,,,上海市,375.0,陈毅,agent_person/7993,粟裕,agent_person/8214,同事,,,,,Un1,上海市军管会关于将国民党政府国营事业官僚资本、战争罪犯财产收归国有的布告,,,,
